127.0.0.1 - - [05/Nov/2023:18:04:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:13 +0900] "GET /MySNS/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:33 +0900] "POST /MySNS/login.jsp HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:37 +0900] "GET /MySNS/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:55 +0900] "POST /MySNS/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:56 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:56 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:58 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:04:58 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:05:01 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:05:07 +0900] "GET /MySNS/feedAdd.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:01 +0900] "POST /MySNS/feedAdd.jsp HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:02 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:02 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 200 2027056
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:02 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:04 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:05 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:05 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:05 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:20 +0900] "GET /MySNS/logout.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:30 +0900] "POST /MySNS/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:30 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:30 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:06:30 +0900] "GET /MySNS/images/Thor.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:12:09 +0900] "GET /MySNS/main.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [05/Nov/2023:18:12:09 +0900] "GET /MySNS/images/deer-forest-night.jpg HTTP/1.1" 304 -
